recency,history,used_discount,used_bogo,is_referral,channel,offer,score
10,29.99,0,1,0,Phone,Buy One Get One,0.8414697850046166
1,351.98,0,1,0,Phone,Buy One Get One,0.7792045004145112
6,401.56,1,1,0,Multichannel,No Offer,1.2596391821103683
8,128.76,0,1,1,Web,Discount,0.4887586865127207
3,53.88,1,0,0,Phone,Buy One Get One,1.5190812459758307
5,124.41,1,0,0,Web,No Offer,1.3364706866829843
2,227.43,0,1,0,Web,Buy One Get One,0.5671448941637991
1,121.34,0,1,0,Web,No Offer,1.4987460802389223
6,124.29,1,0,0,Phone,Buy One Get One,0.6073082493870728
1,544.91,1,1,1,Multichannel,Buy One Get One,1.3167014969366615
10,93.03,0,1,0,Phone,Buy One Get One,1.643073173333322
12,83.3,0,1,1,Web,Discount,1.1911922871337497
1,458.85,0,1,0,Multichannel,Buy One Get One,1.0185505901508063
1,53.79,1,0,1,Phone,Buy One Get One,0.8642304675127594
5,775.57,0,1,1,Phone,Buy One Get One,0.6238848421160794
11,88.09,0,1,1,Web,Discount,1.5724149619216867
2,843.1,1,1,1,Phone,No Offer,1.3214999535158407
4,29.99,0,1,0,Web,No Offer,1.0767993295754903
10,188.49,0,1,0,Phone,No Offer,1.5795329857276572
10,168.51,0,1,1,Web,Discount,0.555609132129848
9,359.69,1,0,0,Web,Buy One Get One,1.3688763261176744
1,422.81,0,1,0,Phone,Buy One Get One,2.2522244017626223
9,101.7,0,1,0,Phone,No Offer,1.4321280542187174
10,213.25,1,1,1,Multichannel,No Offer,1.0134909059248307
9,166.23,0,1,1,Phone,Discount,0.19919892123489855
5,47.75,1,0,1,Web,Discount,2.8186305005021475
10,183.27,0,1,1,Web,Buy One Get One,0.9694894013075942
5,589.74,1,0,1,Multichannel,Discount,2.464392693545105
10,77.22,0,1,1,Phone,Buy One Get One,0.8597372320797727
10,78.62,1,0,1,Phone,Discount,0.5392403346085992
11,255.67,1,0,0,Multichannel,Buy One Get One,1.7044452489519184
1,396.43,1,0,0,Multichannel,No Offer,0.9904688385267408
8,204.89,0,1,0,Multichannel,Discount,1.6070853430551328
6,483.86,0,1,0,Phone,Discount,1.3263059929840528
3,150.78,0,1,0,Phone,Buy One Get One,2.2922334184412967
1,822.97,0,1,1,Web,No Offer,0.6594324933463886
10,115.32,1,0,1,Web,Buy One Get One,0.5998096803966321
5,29.99,0,1,0,Phone,No Offer,2.1357839006425854
1,303.37,1,0,0,Multichannel,Buy One Get One,1.5202139851667047
7,29.99,1,0,0,Web,Buy One Get One,1.4142811371291668
12,278.54,0,1,1,Web,Buy One Get One,0.559171124183095
9,116.76,0,1,0,Phone,No Offer,0.4364198409622695
1,120.0,0,1,0,Web,Discount,2.0828494268313875
5,80.29,0,1,1,Web,Discount,0.2857022744700212
7,45.15,0,1,1,Web,Buy One Get One,1.8237119382636608
8,41.26,0,1,1,Phone,No Offer,1.3478846030762033
2,311.03,0,1,0,Web,No Offer,0.7206838000659233
3,340.17,1,0,0,Phone,Buy One Get One,1.3218406766318465
3,234.92,0,1,1,Phone,Discount,0.9737953456576732
10,59.32,1,0,1,Web,No Offer,1.0079499927352065
7,33.32,0,1,0,Phone,Discount,1.1063081693982009
9,67.47,0,1,1,Phone,No Offer,1.4598475855614093
2,248.91,1,1,0,Web,No Offer,0.6009667207872307
2,29.99,0,1,0,Phone,No Offer,0.39980230113785853
8,46.76,1,0,0,Phone,No Offer,1.133092867491711
1,45.5,0,1,0,Web,Buy One Get One,0.7552128030303786
11,334.9,1,1,0,Multichannel,Discount,0.02635381787534119
11,124.29,1,0,0,Web,Discount,1.194793689987676
2,37.15,1,0,1,Web,No Offer,1.1374814408480072
9,211.79,0,1,0,Multichannel,Discount,0.849319853871917
3,598.9,0,1,1,Multichannel,Discount,1.0520635883216194
6,29.99,1,0,1,Web,No Offer,0.8496860048833472
9,102.38,0,1,0,Phone,Buy One Get One,2.5505337424748733
1,900.65,1,1,1,Web,No Offer,0.8598774113128251
5,398.44,1,1,0,Multichannel,Buy One Get One,1.062442802309793
2,56.86,1,0,1,Phone,Discount,0.9772255013231412
6,115.24,1,0,0,Web,No Offer,0.913212402334798
2,396.1,1,1,0,Web,Discount,2.1553877428406127
7,29.99,1,0,0,Phone,No Offer,1.211860116317894
3,199.62,0,1,0,Web,Discount,0.4023532854579296
9,48.38,1,0,0,Phone,Discount,0.7863503651529549
5,71.32,1,0,0,Phone,No Offer,0.7054957189933825
10,333.5,1,0,1,Phone,Buy One Get One,0.2801826982784153
8,29.99,0,1,1,Phone,Buy One Get One,1.3913342487436653
3,190.12,0,1,1,Web,No Offer,1.3601958026260652
1,39.14,1,0,1,Web,Buy One Get One,0.15842481630178218
2,112.92,0,1,0,Web,Buy One Get One,1.0117541110735249
8,185.0,0,1,0,Web,Discount,1.940535857023468
12,79.45,0,1,0,Phone,No Offer,0.5031412814116651
7,159.18,0,1,0,Web,Discount,1.8302570429953888
8,126.22,1,0,0,Phone,Discount,0.925700640623585
3,168.51,1,0,1,Phone,Discount,0.6277433542365747
10,29.99,1,0,0,Web,Buy One Get One,0.667598217503147
1,364.95,1,0,0,Phone,Discount,0.9647314508292496
4,270.91,1,0,1,Web,Buy One Get One,0.4927079046258711
3,1048.31,0,1,1,Multichannel,Discount,1.6718030451399586
1,595.77,1,0,1,Web,Buy One Get One,1.2204227606522229
11,439.13,1,1,0,Web,Discount,0.4634914180396616
10,109.31,1,0,0,Phone,No Offer,0.6656008056052571
12,38.69,0,1,0,Web,No Offer,0.8506962278785957
5,527.97,0,1,1,Phone,No Offer,1.0205678460498309
2,586.92,1,0,1,Phone,Buy One Get One,1.223666489512744
5,48.42,0,1,0,Phone,Buy One Get One,1.0545587081196033
4,102.37,0,1,0,Web,Discount,1.0163185812177566
9,227.9,1,1,1,Phone,Buy One Get One,1.7752573642624734
11,62.45,1,0,0,Phone,No Offer,1.2666038701957198
10,236.67,1,0,1,Phone,Discount,0.7580991135246664
3,218.67,1,0,1,Web,No Offer,0.6800207877309385
2,521.83,0,1,1,Multichannel,No Offer,-0.06363963463339295
9,109.96,0,1,0,Web,No Offer,0.34499141298848945
11,121.1,0,1,0,Web,Discount,2.018743507239513
3,200.29,1,0,1,Multichannel,Buy One Get One,1.4994470299415594
9,51.06,1,0,0,Web,No Offer,1.5208660417759736
10,35.55,0,1,1,Phone,Buy One Get One,1.3615627071861802
5,105.29,1,0,1,Phone,Discount,1.0420083970237837
2,405.67,0,1,0,Web,Buy One Get One,0.8712253255304877
7,248.07,0,1,1,Multichannel,Buy One Get One,0.934159946710664
3,558.52,0,1,1,Web,Buy One Get One,1.881309227452208
2,555.65,1,1,1,Web,Buy One Get One,1.38929135946434
8,521.11,0,1,1,Web,Buy One Get One,0.3566916915959555
2,105.37,0,1,0,Web,Discount,1.020909457841412
7,181.24,1,0,1,Web,Discount,1.0122854252210358
12,192.43,1,0,0,Web,Buy One Get One,0.5130668344365414
1,193.42,0,1,0,Phone,Discount,0.5643224779498368
4,47.48,0,1,1,Web,Buy One Get One,1.413233915592799
4,255.96,0,1,0,Web,No Offer,1.0806615353790092
3,276.0,0,1,0,Web,No Offer,0.935273450971157
2,194.07,1,0,0,Web,No Offer,2.6237925412951637
10,60.88,0,1,0,Phone,Discount,0.40941583287352895
3,305.42,0,1,0,Web,Discount,0.31065239593448224
10,135.94,0,1,1,Web,No Offer,1.0196810355742951
2,48.43,1,0,0,Phone,No Offer,2.7778148357835506
10,391.68,1,0,0,Phone,Buy One Get One,2.4795592377414892
2,110.05,0,1,0,Phone,Discount,2.4005284170932537
9,163.23,1,0,1,Web,Discount,0.9160175949795111
6,63.48,0,1,1,Web,Discount,0.8319890577179896
2,1102.75,0,1,1,Web,No Offer,1.1344251013880309
2,218.08,1,1,0,Web,No Offer,2.079583365778673
8,105.81,1,0,1,Web,Discount,1.0737110746690142
4,328.3,0,1,0,Phone,Discount,0.7681462523297806
8,112.73,0,1,1,Phone,Discount,1.2867689881050035
11,92.92,1,0,1,Phone,No Offer,1.36350411049274
7,626.28,1,1,1,Web,No Offer,0.8995255735327509
10,416.04,1,0,0,Multichannel,Discount,0.8315587682451167
4,1477.25,1,0,1,Web,Discount,0.6542089572274628
9,216.4,1,1,0,Multichannel,No Offer,0.7545600737217484
1,373.67,1,0,1,Web,Buy One Get One,1.0064039923874522
4,29.99,0,1,1,Phone,Buy One Get One,0.9490161618207712
1,89.31,0,1,0,Phone,No Offer,0.44254751985501495
10,142.56,0,1,0,Web,No Offer,1.9738250744915944
2,362.17,1,1,0,Phone,Discount,1.0429546572894344
2,119.31,0,1,1,Phone,No Offer,0.920781284805672
4,352.34,0,1,0,Multichannel,No Offer,1.2964566647849214
9,126.66,1,0,0,Web,Discount,1.4587882516048334
5,95.86,0,1,0,Web,Buy One Get One,2.05384449216256
1,82.09,0,1,0,Phone,No Offer,0.4419680591223853
10,311.35,0,1,0,Phone,Buy One Get One,1.0045425048149512
2,329.8,1,0,0,Phone,Discount,1.0322944963393546
1,81.37,1,0,0,Phone,Buy One Get One,1.5649721848205074
8,848.47,1,1,1,Web,Discount,1.7685827648293606
10,29.99,0,1,0,Web,Discount,0.8772180457122618
2,29.99,0,1,1,Phone,Discount,0.7709495273365515
7,439.3,1,0,0,Web,No Offer,0.7251717425615671
9,82.66,1,0,0,Web,No Offer,0.4211136744070709
12,29.99,0,1,0,Web,Buy One Get One,0.622593279988713
9,415.53,1,1,0,Phone,No Offer,1.7248712191846085
9,405.29,1,0,0,Phone,No Offer,1.4040206995525797
3,281.54,0,1,0,Phone,Discount,0.4646926898187209
12,29.99,1,0,1,Phone,Buy One Get One,1.1032607075951713
9,179.95,1,0,0,Phone,No Offer,0.5897328048306454
2,467.89,0,1,0,Multichannel,Buy One Get One,1.6858611475657157
10,35.36,1,0,1,Phone,Discount,1.1560255404833364
12,251.15,1,1,1,Multichannel,Buy One Get One,0.782753157066434
11,199.63,0,1,0,Phone,No Offer,0.5797840368832861
4,226.3,1,0,1,Multichannel,Discount,0.7878299225353963
3,66.55,0,1,0,Phone,No Offer,0.8010263184217629
7,132.68,0,1,1,Web,Discount,0.9954365913761902
4,471.77,0,1,0,Multichannel,No Offer,1.2430805762878376
3,485.55,0,1,0,Web,No Offer,1.2195856857312262
9,194.92,1,0,0,Phone,Discount,0.08836469697571693
9,181.34,1,0,1,Web,Discount,1.250873701011705
7,29.99,1,0,0,Phone,No Offer,1.2151221213386978
2,315.11,1,0,0,Web,Buy One Get One,1.7313291160345643
8,318.43,1,0,0,Web,Buy One Get One,1.1234289358635354
4,171.94,0,1,1,Phone,Buy One Get One,1.0332146017106163
4,159.05,0,1,0,Phone,Discount,1.3157365317214738
1,167.93,0,1,0,Phone,No Offer,1.0152860242982582
2,71.21,1,0,1,Web,No Offer,0.8728476363440516
8,33.41,0,1,1,Web,Discount,0.8818150952065771
9,241.66,1,0,1,Multichannel,No Offer,0.9482047104482232
1,255.66,1,1,1,Web,No Offer,0.9679298171187816
11,86.96,1,0,1,Web,Buy One Get One,0.8042222675528667
10,121.75,0,1,1,Phone,Buy One Get One,1.306378318408599
2,63.81,0,1,1,Web,No Offer,0.5602049427188377
7,869.55,1,1,1,Web,Discount,0.4391516532264365
11,118.47,0,1,0,Web,Buy One Get One,0.5700139560459012
10,285.87,1,0,0,Web,Buy One Get One,0.5266366298009059
2,508.13,0,1,1,Multichannel,No Offer,1.093222081028738
3,32.55,0,1,0,Phone,Discount,1.0668289099899195
1,312.7,0,1,0,Phone,No Offer,1.074527539830426
6,169.47,1,0,0,Phone,No Offer,0.9668586478101198
3,780.66,1,0,1,Phone,Buy One Get One,0.8950717828032873
9,29.99,1,0,1,Phone,Discount,1.2367715876533196
3,275.83,0,1,0,Web,Discount,0.6266816698097111
7,29.99,0,1,0,Web,Buy One Get One,1.2421243306884957
12,222.66,1,1,0,Web,Buy One Get One,1.28112901505783
7,742.73,1,0,1,Web,Discount,1.7710262342249086
1,201.22,1,0,0,Web,Buy One Get One,2.42213265405218
6,117.18,1,0,0,Phone,Buy One Get One,0.9442814442352911
12,29.99,1,0,0,Web,Discount,1.3665218368388554
6,64.02,1,0,1,Phone,Buy One Get One,0.3810043288334802
2,256.26,1,0,1,Web,Buy One Get One,0.7243219893810665
4,118.81,0,1,1,Phone,Buy One Get One,2.0022631642519517
12,136.77,1,0,0,Phone,Buy One Get One,2.2087676885840306
8,302.94,0,1,0,Phone,Buy One Get One,1.1372660733930708
7,152.56,0,1,0,Phone,No Offer,1.4062390255222916
3,77.18,1,0,1,Web,Buy One Get One,1.3647201020274542
2,237.96,1,0,0,Phone,Discount,0.8671877250365687
11,29.99,0,1,0,Phone,Buy One Get One,0.7720921677572514
2,428.0,1,0,0,Multichannel,No Offer,0.5584697570556165
10,50.78,1,0,0,Web,No Offer,0.9211140215372692
2,434.09,0,1,0,Phone,Buy One Get One,2.2223156842172167
4,224.78,1,0,1,Phone,Buy One Get One,1.0549032470496524
1,504.69,1,0,1,Web,No Offer,0.9827319118650878
5,68.52,0,1,0,Web,Discount,0.1700597503115997
4,149.54,0,1,1,Phone,No Offer,0.6919614975354479
10,261.12,0,1,1,Multichannel,Discount,1.4113284446682806
1,29.99,1,0,1,Phone,No Offer,0.7382659203606275
1,29.99,1,0,1,Phone,Discount,2.0546144888121867
3,549.29,1,0,1,Multichannel,No Offer,1.0758525278853417
3,667.37,0,1,1,Web,No Offer,1.0574858944614705
2,43.23,0,1,1,Phone,Discount,1.6120225718249084
7,29.99,0,1,1,Phone,Discount,1.3410160192560618
6,52.78,1,0,0,Phone,Buy One Get One,1.218362492905967
6,29.99,0,1,1,Web,Buy One Get One,2.2975156427298615
9,37.08,1,0,1,Phone,Discount,0.8321610954222547
2,626.54,1,0,1,Multichannel,Buy One Get One,0.8430186070080141
10,109.81,0,1,1,Web,No Offer,1.975611624425816
1,683.27,1,1,1,Multichannel,Buy One Get One,1.0587520961449832
7,34.5,1,0,1,Phone,No Offer,0.7022881628356552
10,70.87,1,0,1,Web,No Offer,1.5226983453564338
7,29.99,1,0,1,Web,Discount,1.0047337152414604
10,64.17,0,1,1,Web,Discount,1.3412276681876452
6,375.51,1,0,0,Phone,Discount,0.3051261060566801
8,46.83,0,1,0,Web,Discount,0.6917916900494809
2,183.87,0,1,0,Web,Buy One Get One,1.3903858050669216
7,129.44,1,0,0,Phone,Buy One Get One,1.4307603624347245
3,77.6,1,0,1,Phone,Buy One Get One,0.9867858555838932
7,124.95,0,1,0,Phone,No Offer,1.4095885838031912
6,793.46,1,1,1,Multichannel,No Offer,1.0866368599052307
6,29.99,1,0,0,Phone,Buy One Get One,0.3137298517686542
3,351.2,1,0,0,Multichannel,Buy One Get One,0.7071140711814734
2,615.01,0,1,1,Phone,No Offer,0.928815556863714
7,108.61,0,1,1,Phone,Discount,0.8156363474529441
9,260.8,0,1,1,Web,Buy One Get One,1.1106226133454438
9,275.04,1,0,1,Phone,Buy One Get One,2.2005371178505557
5,29.99,1,0,0,Web,No Offer,1.6837006689106448
5,113.45,0,1,0,Web,Discount,0.4235406867885324
4,282.94,1,1,1,Phone,Discount,1.194774802439033
8,33.51,0,1,0,Web,No Offer,1.62814644698598
9,168.02,0,1,0,Phone,No Offer,1.2748696470638128
3,127.93,1,0,1,Web,No Offer,0.8804588957170492
1,233.58,1,0,1,Phone,Buy One Get One,1.5819839429277949
8,496.8,1,1,0,Multichannel,Discount,0.8502178713347995
6,29.99,1,0,1,Phone,Buy One Get One,1.1769200622281908
11,43.4,0,1,0,Web,Buy One Get One,0.6073148427119337
3,280.98,1,0,0,Multichannel,Buy One Get One,0.8728622679176737
8,306.41,0,1,0,Phone,Discount,1.2404033114305084
10,48.97,0,1,0,Phone,Discount,1.8074728974331784
4,1187.37,1,1,1,Multichannel,Discount,1.0545938992707726
4,664.11,1,1,1,Web,Buy One Get One,1.442366623949337
4,70.3,0,1,0,Phone,No Offer,1.4079220086939204
5,38.62,0,1,1,Phone,No Offer,0.9244686044963492
12,29.99,1,0,1,Phone,Buy One Get One,1.5727209210267403
6,408.64,1,0,0,Multichannel,Buy One Get One,1.893844729708134
12,44.63,1,0,1,Web,No Offer,0.9632276794292042
2,225.51,1,0,1,Web,Discount,1.4100558296850332
2,100.93,1,0,0,Web,Buy One Get One,2.181348826372539
2,35.58,1,0,1,Phone,No Offer,1.0743837428152865
8,40.94,0,1,1,Phone,Discount,0.895404673476791
9,29.99,0,1,0,Web,Discount,0.3920847353726066
1,555.77,0,1,1,Phone,Discount,1.433169069591408
1,790.41,1,0,1,Phone,No Offer,0.3603383798756917
4,716.31,1,1,1,Phone,No Offer,1.1674353880836357
10,29.99,1,0,0,Phone,Discount,0.9626693751313932
1,29.99,0,1,1,Web,Discount,0.9944624712788788
8,246.08,0,1,1,Phone,Discount,0.4013697556549937
2,147.99,0,1,0,Phone,No Offer,0.7582518176779169
2,29.99,1,0,1,Web,Buy One Get One,1.0479918253056957
5,46.14,0,1,1,Web,Buy One Get One,2.8279975981394205
6,29.99,1,0,0,Web,Buy One Get One,0.9471747808768964
1,156.88,0,1,1,Phone,No Offer,0.9883379118240228
10,118.86,0,1,1,Web,No Offer,0.2609083557093035
1,947.13,1,0,1,Multichannel,No Offer,1.3712094731627114
3,208.15,0,1,0,Multichannel,Discount,1.2861713408858266
6,29.99,0,1,1,Web,No Offer,0.8892350714801998
10,35.77,0,1,0,Phone,Discount,0.7422112283110391
3,462.79,1,0,0,Web,Buy One Get One,1.2672498356090651
3,29.99,1,0,0,Web,Buy One Get One,1.1081140987781204
7,29.99,0,1,1,Phone,No Offer,0.92256356586889
6,505.48,1,1,1,Phone,No Offer,0.5061592586440331
4,309.66,1,1,0,Web,Discount,1.810817086975416
10,48.63,0,1,0,Phone,Buy One Get One,1.4716570026648588
11,29.99,1,0,1,Web,No Offer,1.9082265370501919
5,466.7,1,1,0,Web,No Offer,0.9426477662642372
4,29.99,0,1,1,Phone,No Offer,1.3043698086215272
3,131.81,1,0,0,Phone,Discount,0.9314924451495368
6,658.07,1,0,1,Phone,Discount,0.24210873618176754
12,142.85,0,1,0,Web,No Offer,1.172653402201188
12,134.63,0,1,1,Web,Buy One Get One,0.5974660472300494
1,218.79,0,1,1,Web,Buy One Get One,1.0726220190388456
9,29.99,0,1,0,Phone,Buy One Get One,1.1683161991158206
1,628.8,1,1,1,Web,No Offer,1.360435975560654
1,801.6,1,1,1,Web,Buy One Get One,0.8195740964827102
11,120.62,0,1,1,Phone,Buy One Get One,0.9784971398183754
1,176.69,0,1,0,Web,Buy One Get One,2.1414818898456054
9,206.41,1,0,0,Web,Buy One Get One,1.730740811128007
6,116.45,0,1,0,Web,Discount,1.2480098377026492
1,350.62,1,1,1,Phone,Buy One Get One,1.1264685191486483
1,217.73,1,1,1,Web,No Offer,1.236182513076185
1,125.26,1,0,1,Web,No Offer,0.5882162713435164
4,108.73,0,1,1,Web,No Offer,1.5286135380682448
7,350.7,0,1,0,Web,No Offer,0.9961695977061928
3,214.35,1,0,0,Web,Buy One Get One,1.7392996856393268
12,29.99,0,1,0,Phone,Discount,2.2245522643219804
6,77.18,0,1,1,Web,Discount,2.1148501085122664
11,56.8,1,0,0,Web,Buy One Get One,1.1836539839766456
9,319.75,0,1,1,Phone,No Offer,1.2292320424234426
11,298.8,1,0,0,Web,Buy One Get One,0.8472212884444236
2,148.4,0,1,1,Web,Discount,0.8954345616490034
11,29.99,0,1,0,Phone,Buy One Get One,0.7014068280448988
12,90.61,0,1,0,Phone,Discount,2.398382457052338
6,410.67,0,1,0,Phone,Buy One Get One,0.8144617772891719
4,319.52,0,1,0,Multichannel,Discount,0.6624049857877632
5,169.09,1,0,0,Phone,Discount,0.6090029639551604
7,114.5,0,1,1,Phone,Discount,0.6861486411084098
6,163.66,0,1,0,Web,Buy One Get One,0.1749277096751496
10,198.91,0,1,0,Web,Buy One Get One,0.6502558200484152
2,109.26,1,0,1,Web,No Offer,0.9313059772412268
8,44.16,1,0,0,Web,Discount,1.5225753048969528
5,319.97,1,1,0,Web,Discount,1.3068783814157972
2,184.37,0,1,1,Web,Discount,0.9667934614280458
9,256.52,1,0,0,Web,Discount,0.6792128642965991
4,318.0,0,1,0,Phone,No Offer,1.3902733359974129
11,97.16,1,0,1,Phone,Buy One Get One,0.6385132822432266
3,320.72,1,1,0,Phone,No Offer,1.3857966960713752
5,29.99,1,0,0,Web,Buy One Get One,1.747758776622636
7,299.3,0,1,0,Web,Discount,2.4191362026978678
3,382.14,1,1,0,Web,Discount,2.195415870764613
1,281.07,1,1,0,Web,No Offer,0.8590400488686759
10,29.99,0,1,0,Web,Buy One Get One,0.9418222848361132
10,692.16,1,1,1,Multichannel,Buy One Get One,0.941158562547208
1,92.17,1,0,0,Phone,Buy One Get One,0.4306881328126145
2,688.76,1,0,1,Phone,Buy One Get One,2.0040634958336065
1,362.13,1,0,1,Phone,Buy One Get One,2.6123111574617988
1,292.24,0,1,0,Phone,Discount,0.5633393836779246
9,333.54,1,1,0,Phone,Buy One Get One,1.1691507469617282
2,29.99,0,1,0,Web,Discount,1.073454281874635
9,121.03,0,1,0,Web,No Offer,1.312109210381387
4,532.22,0,1,1,Multichannel,Buy One Get One,1.2770524062169966
10,29.99,1,0,0,Web,Buy One Get One,1.4551350266513519
1,364.86,1,0,1,Web,Discount,1.0639282540865311
9,29.99,1,0,0,Phone,No Offer,0.941090006831392
2,481.31,1,0,0,Multichannel,Buy One Get One,0.8766393958345056
10,251.53,1,1,0,Phone,No Offer,0.9167339492078478
1,29.99,1,0,0,Phone,Buy One Get One,1.5366543250650326
11,132.83,1,0,1,Web,No Offer,1.0658172816000238
5,257.31,0,1,1,Phone,Discount,1.4168915660631969
12,57.96,0,1,1,Phone,Discount,1.201010632880229
5,236.45,1,0,0,Phone,Buy One Get One,0.8765208781773361
11,245.93,1,0,0,Phone,No Offer,2.4957235583359587
1,528.1,1,0,1,Phone,No Offer,0.5872400905216585
8,110.6,0,1,0,Web,Discount,0.9607900112278862
9,182.07,1,0,1,Phone,No Offer,1.4720692292987525
9,273.69,1,1,1,Phone,Buy One Get One,2.1295429585436514
4,36.93,1,0,0,Phone,Buy One Get One,1.5674005388735237
11,29.99,0,1,1,Phone,No Offer,1.2021175001418434
11,93.93,1,0,1,Web,No Offer,0.7372519959821566
2,215.09,1,0,1,Web,Buy One Get One,1.1382567005977458
3,215.08,1,1,1,Multichannel,Buy One Get One,0.8027837129476462
9,439.98,1,1,0,Web,Buy One Get One,0.7634384059655752
